step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
103,TRANSFER,49682.644851309444,C4453203,77237.38882389288,27554.743972583434,C7025461,113523.96424645388,163206.6090977633,0,0
436,TRANSFER,40424.30477989843,C3345871,12235.976183681307,0.0,M4009810,113857.29561922683,154281.60039912525,0,0
271,CASH_OUT,67898.14337330702,C9161090,74883.83538045935,6985.692007152335,C1775217,74562.69023555597,142460.833608863,0,0
107,TRANSFER,42147.56322304668,C3538871,41462.53464854828,0.0,C5448761,190297.7185098262,232445.28173287289,0,0
72,CASH_IN,96145.61602687268,C1158621,187841.40341300349,91695.7873861308,C7125023,168774.91248234632,264920.528509219,0,0
701,CASH_OUT,59967.82403057683,C8023330,139454.8692751895,79487.04524461267,C5463074,165963.9121676484,225931.73619822523,0,0
21,PAYMENT,80767.04577162571,C1707609,10166.532842669729,0.0,C5722556,194830.38708589558,275597.4328575213,0,0
615,CASH_OUT,11024.654720636936,C3602807,58597.70745252129,47573.05273188435,C6617818,91421.86763926336,102446.5223599003,0,0
122,DEBIT,39789.40016529598,C1230099,10043.192984161387,0.0,M9668810,19437.155124005854,59226.55528930183,0,0
467,PAYMENT,33751.08537457055,C3094269,166003.3340749572,132252.24870038667,C3319526,153091.18508995877,186842.27046452934,0,0
215,DEBIT,56991.29057484552,C1918241,181259.28038143218,124267.98980658666,C1166232,76162.51589038676,133153.80646523228,0,0
331,PAYMENT,86125.24065413642,C7124277,22455.921167814875,0.0,M7438790,38069.03036070366,124194.27101484008,1,0
459,TRANSFER,7925.987954424466,C7979736,88058.00920173923,80132.02124731477,M4513054,96649.46864405068,104575.45659847514,0,0
88,CASH_OUT,7350.222324666607,C5367757,186376.65636728518,179026.43404261858,C9108600,185143.78803343265,192494.01035809924,0,0
373,CASH_IN,85046.73904494413,C1376430,29042.33734293411,0.0,M1493441,34271.403802925684,119318.1428478698,0,0
100,PAYMENT,21363.723595231906,C2002475,58380.71813126298,37016.99453603107,C7957700,169739.76304594838,191103.4866411803,0,0
664,PAYMENT,66908.45011953638,C9707050,60854.93003453117,0.0,M9123853,83640.98832302347,150549.43844255985,0,0
131,DEBIT,54333.52542284444,C4927526,6011.662440399701,0.0,C1338371,27360.396140628396,81693.92156347283,0,0
662,TRANSFER,83306.07012923423,C6888203,7254.646937998133,0.0,M6011799,169676.4607977313,252982.53092696553,0,0
309,DEBIT,12596.382092656713,C4261365,190558.56541658257,177962.18332392586,M8324278,193924.06823828572,206520.45033094243,0,0
344,DEBIT,13065.318275688867,C9649654,114218.52179725081,101153.20352156194,M2921788,58254.14316700232,71319.46144269119,0,0
492,TRANSFER,55726.154191802925,C6765102,61329.66428572357,5603.510093920646,C1954040,60707.24196841377,116433.3961602167,0,0
414,CASH_IN,94643.22747050125,C3205349,75734.93214131691,0.0,M5186848,78109.19660798663,172752.42407848788,0,0
386,DEBIT,41558.27606123835,C9448893,142968.58576900483,101410.30970776649,M6535108,162826.07289216144,204384.34895339978,0,0
192,DEBIT,32761.515815444025,C3902450,73303.44071092407,40541.92489548004,C7578402,2083.4393478999623,34844.955163343984,0,0
277,PAYMENT,60708.263387468796,C4808681,45552.08061865765,0.0,M7016285,44791.31034750687,105499.57373497567,0,0
161,TRANSFER,93051.8151944486,C5465943,20367.46831995988,0.0,C3336027,141179.96222126522,234231.77741571382,1,0
460,CASH_OUT,83709.09050117791,C6512861,145786.60234360743,62077.51184242952,C4919980,81127.89009710522,164836.98059828312,0,0
314,CASH_IN,99548.81271224866,C4877796,36113.003335044945,0.0,C6706665,66059.1245936255,165607.93730587416,0,0
22,CASH_IN,2354.601461917471,C7179064,13929.653985259516,11575.052523342045,M6251037,174456.5777804035,176811.17924232097,0,0
253,TRANSFER,11374.528656804947,C1514938,85390.8890992954,74016.36044249045,C5767334,183466.78402924788,194841.3126860528,0,0
561,PAYMENT,60985.82956032554,C4070132,7914.192362270755,0.0,M6469896,189597.24383323907,250583.0733935646,0,0
475,PAYMENT,82075.58628945159,C5453054,192999.61166857736,110924.02537912577,C3629115,54510.106530859324,136585.6928203109,0,0
59,TRANSFER,28595.909796445976,C3389642,125458.59351496796,96862.68371852198,C9699930,182502.52190782138,211098.43170426736,1,0
511,PAYMENT,23997.187694618453,C8334806,30539.362089312162,6542.1743946937095,M9207826,147393.11094545777,171390.29864007622,0,0
682,CASH_IN,78718.88235818197,C5675919,34490.81728969217,0.0,M4921932,30842.949697716125,109561.83205589809,0,0
476,CASH_IN,5732.547199937835,C9507441,113965.69605456908,108233.14885463125,M8060942,122054.00566164206,127786.5528615799,0,0
700,CASH_OUT,37001.32649350025,C6666900,71313.15146755872,34311.82497405847,M3750484,5266.963861398244,42268.2903548985,0,0
190,TRANSFER,50630.34133697374,C3108086,154853.34883754273,104223.00750056899,C8302530,141675.63115417302,192305.97249114676,0,0
687,DEBIT,56078.83256759731,C9014140,109161.29712378333,53082.464556186016,C8992645,146713.50453018767,202792.33709778497,0,0
563,DEBIT,72888.65416359842,C8283450,86666.77510498826,13778.120941389847,M5257500,157867.70171899945,230756.35588259785,0,0
567,CASH_OUT,35549.087770722756,C8199876,192596.04961305432,157046.96184233157,C1508370,34505.010824486984,70054.09859520974,0,0
244,CASH_OUT,61307.16603299326,C3338782,78145.8112419378,16838.645208944545,C9421008,125649.98818950618,186957.15422249943,0,0
505,PAYMENT,58579.00473681654,C7177772,80122.18475946871,21543.180022652174,C9904201,35771.33696553088,94350.34170234742,0,0
131,CASH_OUT,54806.84845530934,C8838609,133154.4842121578,78347.63575684847,M1395916,189330.01667783514,244136.86513314449,0,0
485,CASH_OUT,64084.280984906996,C2609387,161895.71682443365,97811.43583952665,C9087002,135002.1385361669,199086.4195210739,0,0
647,DEBIT,26018.972189700824,C5033310,125242.99817170906,99224.02598200823,C2981195,19065.16960081115,45084.141790511974,0,0
21,PAYMENT,8556.410483104435,C1383094,139722.0444108857,131165.63392778125,C3805441,37406.446001164564,45962.856484268996,0,0
167,CASH_OUT,12015.240036770369,C6169501,74586.31371332223,62571.07367655187,M4846601,132692.01962594956,144707.25966271994,0,0
274,CASH_OUT,22535.780027124718,C1166804,95899.36729565194,73363.58726852722,M3659540,95334.09923192173,117869.87925904646,0,0
388,PAYMENT,50069.773758726245,C6919261,39407.01729359266,0.0,C2268374,147259.53324217568,197329.30700090193,0,0
601,TRANSFER,84060.2307795474,C7515766,136049.2981397047,51989.06736015731,C3319840,56157.75978513182,140217.99056467923,0,0
316,PAYMENT,70159.20487462958,C3067139,44290.38808534189,0.0,C8843711,131583.50736941537,201742.71224404493,1,0
14,DEBIT,78925.15635978451,C7548932,251.3590787622366,0.0,M5529980,35392.0336060878,114317.18996587231,0,0
242,TRANSFER,35162.46483021653,C4984936,186752.42396135023,151589.95913113368,C4385881,108742.05267220663,143904.51750242314,0,0
346,CASH_IN,40524.90879069016,C5475564,61203.048242910765,20678.139452220603,M9731150,191559.91830999724,232084.8271006874,0,0
565,PAYMENT,39428.82041046222,C4889359,39326.40849320046,0.0,M3331992,125644.44645819727,165073.2668686595,1,0
340,DEBIT,19268.1311220097,C6736093,53629.34619315518,34361.215071145474,C7707776,9998.723500983298,29266.854622993,0,0
92,TRANSFER,6215.544148542845,C5270924,66089.53952372952,59873.99537518667,M8900180,197752.42754732535,203967.97169586818,0,0
367,PAYMENT,59132.51767343996,C8253731,94909.28528963473,35776.767616194775,M9319720,31373.26592977312,90505.78360321307,1,0
455,CASH_OUT,98922.74667371655,C9810580,13870.334203719325,0.0,C6629414,143613.82053942102,242536.56721313758,1,0
428,PAYMENT,16766.287524531257,C9471212,10534.631241090176,0.0,C5697615,106506.00781283919,123272.29533737045,0,0
509,CASH_IN,4763.813507937448,C7910196,58582.15310761452,53818.33959967707,M7829471,58872.13756086076,63635.95106879821,0,0
35,PAYMENT,77975.2150142109,C9260455,59153.226239419164,0.0,C2924393,35462.09708554182,113437.31209975271,0,0
